TransactionId: 122691b6-1c44-42ae-91bc-f45011526b83 | AccountNumber: 88888 | Type: CREDIT | Amount: 1000.00
TransactionId: 6ffc7090-3460-4f63-9def-b9503a5a9871 | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: 35001b68-c541-4f61-b064-7c8f51f490f1 | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: 8b0f9406-75fe-4c21-a147-6fdb11aa1777 | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: 41b24864-56e3-4cb8-9791-18632fd8745e | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: 43c97e65-29dd-4291-86f9-51c4cf15a466 | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: 884e1eb8-de45-4c1b-88e2-16e7106b6123 | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: 8880db32-f4cc-4125-ae5b-7ef1d5546deb | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: 4c191ebf-c551-45f1-8df0-905a5a18a9a6 | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: dcf50e2f-98ff-4119-b198-02945f7af136 | AccountNumber: 88888 | Type: CREDIT | Amount: 1000.00
TransactionId: 4e3c63ce-9929-4c8c-91ae-a0801f6481e1 | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: 7d451d87-4677-4f5f-bf39-a22433db83a7 | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: 643e3adc-fc20-428d-b5f7-db730e5d554d | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: ec8f5b9c-13cd-4ccf-badf-cc117345ff90 | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: e10d36d2-a8db-4ab2-b401-f32fb30209a2 | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: c948f979-563e-43c3-ad48-7c3c8a4254a7 | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: 57679116-ae2a-4671-8479-af34288f883b | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: 87b33242-b3fd-4729-b211-d6f99ffa3c0c | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: 8bdeef17-26c0-4fb2-98d6-181feca5758d | AccountNumber: 88888 | Type: CREDIT | Amount: 1000.00
TransactionId: a88a35fb-6dd3-46cd-9a4d-513e4be2cea2 | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: 478b2dd7-4dfb-4fc1-9e0e-b6a08eca1f49 | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: 45ecabd8-9560-4e57-9a9a-846380394cb3 | AccountNumber: 88888 | Type: CREDIT | Amount: 10.00
TransactionId: f9fb088f-752e-43f2-be4f-dbe95ffafdce | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
TransactionId: e7d757b4-6d31-4866-a608-b9d427b05a3a | AccountNumber: 88888 | Type: DEBIT | Amount: 10.00
